Quarter,Global_Compliance,Political_Capital,Total_Fines_Collected,Avg_City_Attitude
1,8.65%,1.0000,0,0.330
2,12.93%,1.0000,0,0.694
3,15.86%,0.9793,0,0.681
4,15.84%,0.9584,0,0.673
5,16.34%,0.9375,0,0.667
6,15.69%,0.9165,0,0.663
7,15.39%,0.8955,0,0.662
8,15.54%,0.8746,0,0.662
9,15.84%,0.8536,0,0.661
10,15.51%,0.8326,0,0.662
11,15.51%,0.8116,0,0.662
12,15.89%,0.7906,0,0.662
13,15.64%,0.7696,0,0.661
