Quarter,Tick,Barangay_ID,Barangay_Name,Total_Budget_PHP,LGU_Allocation_PHP,LGU_Share_Percent,Local_Base_PHP,IEC_Alloc_PHP,IEC_Percent,Enf_Alloc_PHP,Enf_Percent,Inc_Alloc_PHP,Inc_Percent,IEC_Intensity_Score,Enf_Intensity_Score,Incentive_Value_Per_Capita,Avg_Attitude,Avg_SocialNorm,Avg_PBC,Avg_Utility,Compliance_Rate,Active_Enforcers,Political_Capital
3,180,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.099,0.355,0.301,-0.170,13.33%,0,0.0000
3,180,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.188,0.780,0.308,0.389,74.27%,0,0.0000
4,270,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.197,0.916,0.329,0.217,88.82%,0,0.0000
4,270,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.556,0.918,0.323,0.634,87.11%,0,0.0000
4,270,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,-0.014,0.914,0.254,0.002,41.66%,1,0.0000
4,270,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.610,0.913,0.311,0.939,89.35%,0,0.0000
4,270,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.210,0.913,0.293,0.159,86.61%,0,0.0000
4,270,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.090,0.346,0.301,-0.176,12.73%,0,0.0000
4,270,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.181,0.781,0.308,0.387,73.10%,0,0.0000
5,360,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.237,0.916,0.329,0.224,90.46%,0,0.0000
5,360,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.565,0.919,0.323,0.655,90.77%,0,0.0000
5,360,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.025,0.386,0.254,-0.120,5.67%,1,0.0000
5,360,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.598,0.913,0.311,0.902,87.57%,0,0.0000
5,360,BGY_4,Brgy Demologan,58821.43,53571.43,14.29%,5250.00,53833.93,91.5%,4462.50,7.6%,525.00,0.9%,0.6667,0.5000,500.00,-0.300,0.913,0.293,0.154,88.55%,0,0.0000
5,360,BGY_5,Brgy Mati,73571.43,53571.43,14.29%,20000.00,57571.43,78.3%,6000.00,8.2%,10000.00,13.6%,0.8333,0.5000,500.00,-0.076,0.368,0.301,-0.155,16.97%,0,0.0000
5,360,BGY_6,Brgy Babalaya,57321.43,53571.43,14.29%,3750.00,53758.93,93.8%,3375.00,5.9%,187.50,0.3%,0.6667,0.5000,500.00,-0.169,0.782,0.308,0.376,76.61%,0,0.0000
6,450,BGY_0,Brgy Liangan East,61071.43,53571.43,14.29%,7500.00,54321.43,88.9%,1875.00,3.1%,4875.00,8.0%,0.6667,0.5000,500.00,-0.152,0.916,0.329,0.207,89.80%,0,0.0000
6,450,BGY_1,Brgy Ezperanza,76071.43,53571.43,14.29%,22500.00,58071.43,76.3%,11250.00,14.8%,6750.00,8.9%,0.8333,0.5000,500.00,0.558,0.918,0.323,0.637,87.98%,0,0.0000
6,450,BGY_2,Brgy Poblacion,103571.43,53571.43,14.29%,50000.00,63571.43,61.4%,30000.00,29.0%,10000.00,9.7%,1.0000,0.5000,500.00,0.011,0.384,0.254,-0.126,4.50%,1,0.0000
6,450,BGY_3,Brgy Binuni,85163.93,53571.43,14.29%,31592.50,59889.93,70.3%,12637.00,14.8%,12637.00,14.8%,0.8333,0.5000,500.00,0.608,0.913,0.311,0.931,89.74%,0,0.0000
