Quarter,Global_Compliance,Political_Capital,Total_Fines_Collected,Avg_City_Attitude
1,9.52%,1.0000,0,0.303
2,0.37%,1.0000,0,-0.020
3,4.15%,1.0000,0,-0.027
4,4.25%,1.0000,0,-0.028
5,4.03%,1.0000,0,-0.028
6,3.83%,1.0000,0,-0.028
7,4.05%,1.0000,0,-0.028
8,3.75%,1.0000,0,-0.028
9,3.93%,1.0000,0,-0.028
10,4.23%,1.0000,0,-0.028
11,4.35%,1.0000,0,-0.029
12,4.23%,1.0000,0,-0.028
13,4.45%,1.0000,0,-0.028
